number,value,datetime_start,datetime_complete,duration,params_alpha,params_ent_coef,params_epsilon,params_gamma,params_learning_rate,params_max_grad_norm,params_n_steps,params_vf_coef,state
70,-0.12300000339746475,2023-04-18 23:29:02.834357,2023-04-18 23:31:05.342137,0 days 00:02:02.507780,0.9311611030045357,8.4755169276015e-06,2.2926917002246513e-05,0.9545392810155731,9.380062563510453e-05,0.028134016579924422,525.8058118550362,0.7032644396428963,COMPLETE
71,-80.86598205566406,2023-04-18 23:29:40.889327,2023-04-18 23:31:34.273918,0 days 00:01:53.384591,0.9294728704354087,1.0245762736570839e-05,2.29682079208706e-05,0.9547882872951113,3.982901598311759e-05,0.038199289269002075,343.794631627453,0.505075123592141,COMPLETE
72,-0.0,2023-04-18 23:30:02.898910,2023-04-18 23:32:46.609058,0 days 00:02:43.710148,0.9380091437577455,7.644685603235827e-05,2.1298171196744255e-05,0.9611999326057405,3.322720775027918e-05,0.018715174587435227,545.2772754767403,0.5608313843024574,COMPLETE
73,-0.0,2023-04-18 23:30:03.994551,2023-04-18 23:32:55.656657,0 days 00:02:51.662106,0.9382812214541472,4.142159742636644e-06,2.4667684799735763e-05,0.9500092606499008,9.188429429338349e-05,0.019246129626329808,546.2623697094194,0.6451903474716975,COMPLETE
74,-82.03797912597656,2023-04-18 23:31:05.346113,2023-04-18 23:33:40.253001,0 days 00:02:34.906888,0.9386929970117324,1.6664885270702197e-07,2.8931038179048527e-05,0.9281831003784009,0.00018597973655530445,0.02311435335777205,582.0923708428783,0.5006914555029313,COMPLETE
75,-81.19498443603516,2023-04-18 23:31:34.277039,2023-04-18 23:33:20.964633,0 days 00:01:46.687594,0.9399865565868848,4.3598670431519153e-07,5.087913244589004e-05,0.9283722224517078,0.00016752025219335994,0.017832663248244396,411.91829197585315,0.5599615040189773,COMPLETE
76,-81.41297912597656,2023-04-18 23:32:46.612234,2023-04-18 23:34:23.278952,0 days 00:01:36.666718,0.9474748388687715,1.4445274953401514e-07,4.561296960515111e-05,0.9280958959909527,0.00016347741355463884,0.023936401620497923,418.64421084184863,0.5277595301811268,COMPLETE
77,-81.48497009277344,2023-04-18 23:32:55.660483,2023-04-18 23:34:59.231552,0 days 00:02:03.571069,0.940834942719663,1.452098472181229e-07,5.0694439129726335e-05,0.9272994002684748,0.0001685605141487098,0.022801428832739737,433.19912310092184,0.5237042634309264,COMPLETE
78,-0.06599999964237213,2023-04-18 23:33:20.973125,2023-04-18 23:35:23.119503,0 days 00:02:02.146378,0.9481719172273058,1.6700919230083317e-07,5.279746746073555e-05,0.9254173892711717,0.00024487059971104103,0.022968181807854374,431.66834211888624,0.5378995785337134,COMPLETE
79,-81.41697692871094,2023-04-18 23:33:40.259281,2023-04-18 23:35:32.682784,0 days 00:01:52.423503,0.9469285599691571,1.482477021311726e-07,9.186305457402295e-05,0.9397998364432159,0.00024070331738499135,0.02294152175756224,433.227843562466,0.5364969181049227,COMPLETE
